column,y2023,y2024,y2025,in_all_years,timing,a_j,rationale
Сут. диагнозы гистеро 1,✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Сут. диагнозы гистеро 2,✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
Сут. диагнозы гистеро 3,✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
вес плод,,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
вес плод 1,✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
вес плод 2,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
вес плод 3,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
год рождения,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
рост плод,,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
рост плод 1,✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
рост плод 2,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
рост плод 3,✓,✓,✓,✓,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
сопут. диагноз РС 1,,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
сопут. диагноз РС 2,,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
сопут. диагноз РС 3,,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
сопут. диагноз экс.пат 1,,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
сопут. диагноз экс.пат 2,,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
сопут. диагноз экс.пат 3,,✓,✓,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
сут. диагноз РС 1,✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
сут. диагноз РС 2,✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
сут. диагноз РС 3,✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
сут. диагноз экс.пат 1,✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
сут. диагноз экс.пат 2,✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
сут. диагноз экс.пат 3,✓,,,,before_decision,1,предлечебный признак — допустим (ESHRE: AMH/AFC — основные)
DO Бласт н.луч качества  минимум 3ВВ,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
DO Выход б/ц,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
DO Зрелых (MII),✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
DO Норм.л.,✓,,,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
DO ПЭ  5-6 сутки,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
DO ПЭ 3-4 сутки,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
DO Получено ооцитов,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
DO Т заморож.эмбр,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
DO атрез.,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
DO дробление,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
FET Кол-во эмб на ПЭ после разморозки,,✓,✓,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Внематочная беременность,,✓,,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Выжило(кол) ДО ооцитов,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Выжило(кол) своих ооцитов,,✓,✓,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Выжило(кол) своях ооцитов,✓,,,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
ЗО Зрелых (MII),✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
ЗО Получено ооцитов пац /ДО,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
И n заморож.эмбр,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
И Аномал.л.,✓,,,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
И Аномал.опл.,,✓,✓,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
И Бласт н.луч качества  минимум 3ВВ,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
И Выход б/ц,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
И Дробление,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
И Зрелых (MII),✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
И Норм.л.,✓,,,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
И ПЭ 3-4 сутки,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
И Получено ооцитов,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
И атрез.,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Номер эмбриона,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Область,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Остатки эмбрионов,,✓,✓,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Остатки эмбрионов ноль 0,,✓,✓,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Остатки эмбрионов ноль 0.1,,✓,✓,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Разморозка своих ооцитов(кол.),,✓,✓,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Разморозка своях ооцитов(кол.),✓,,,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Спонтанная беременность,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
ХГЧ 1500 МЕ в/м,,,✓,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
ХГЧ 5000,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
атрез.,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
внемат.беременность,,✓,✓,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
кЭКО n заморож.эмбр,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
кЭКО Аномал.л.,✓,,,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
кЭКО Аномал.опл.,,✓,✓,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
кЭКО Бласт н.луч качества  минимум 3ВВ,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
кЭКО Выход б/ц,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
кЭКО Дробление,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
кЭКО Зрелых (MII),✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
кЭКО Норм.л.,✓,,,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
кЭКО ПЭ 3-4 сутки,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
кЭКО ПЭ 5-6 сутки,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
кЭКО Получено ооцитов,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
осложнения беременности,✓,,,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
пок-тель хгч,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
результат ХГЧ,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
эмбр опл,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
∑ n  заморож.эмбр,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
∑ Аномал.л.,✓,,,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
∑ Аномал.опл.,,✓,✓,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
∑ Бласт н.луч качества  минимум 3ВВ,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
∑ Выход б/ц,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
∑ Дробление,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
∑ Зрелых (MII),✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
∑ Норм.л.,✓,,,,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
∑ ПЭ 3-4 сутки,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
∑ ПЭ 5-6 сутки,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
∑ Получено ооцитов,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
∑ атрез.,✓,✓,✓,✓,post_outcome,0,результат пункции/эмбриологии — ЦЕЛЕВАЯ или пост-исход (утечка)
Вид Стимуляций,✓,✓,✓,✓,protocol_choice,0,выбор врача: допустим ТОЛЬКО если прогноз строится ПОСЛЕ выбора
Метод опл,✓,✓,✓,✓,protocol_choice,0,выбор врача: допустим ТОЛЬКО если прогноз строится ПОСЛЕ выбора
Программа,✓,✓,✓,✓,protocol_choice,0,выбор врача: допустим ТОЛЬКО если прогноз строится ПОСЛЕ выбора
Протокол,✓,✓,✓,✓,protocol_choice,0,выбор врача: допустим ТОЛЬКО если прогноз строится ПОСЛЕ выбора
ВРАЧ,,✓,✓,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Врач ТВП,✓,✓,,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Врач гистеро,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Врач программы/стимуляции/ТЕЗЕ,✓,,,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Дата Аспир би,✓,,,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Дата Аспир биоп,,✓,✓,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Дата МСГ,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Дата Посл гистеро,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Дата Программы,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Дата заполнения,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Дата переноса,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
КОД ДС/ ФИО,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
КОД/ФИО ДО/ДС КОД ДЭ,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Кол-во КРИО ПЕ в Persona,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Кол-во берем,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Кол-во браков,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Кол-во гистеро,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Кол-во эмб на FET,✓,,,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Кол-во эмбр на ПЭ- СМ,,✓,✓,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Ф.И.О. ДО/КОД ДО,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
ФИО,✓,,✓,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
ФИО мужа,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
ФИО пациента,,✓,,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Эмбриолог  ПЭ,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
Эмбриолог ТВП,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
врач  ПЭ,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
дата УЗИ 2,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
дата УЗИ 3,✓,,,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
дата обзвона УЗИ 2,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
дата обзвона ХГЧ,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
дата родов,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
дата сдачи ХГЧ,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
дата сдачи спермограммы,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
дата учета УЗИ 3,,✓,✓,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
кол-во,✓,✓,,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
кол-во заморож ооц,✓,✓,✓,✓,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
кол-во на МРТ,,,✓,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
№,✓,✓,,,service,0,служебное/идентификатор — использовать запрещено (§17 TECHNICAL_ID)
12 недель,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
CaI,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Cook,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Cтатус,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
DO Норм.опл.,,✓,✓,,unclassified,0,требует ручного решения соавтора
DO аном.л.,✓,,,,unclassified,0,требует ручного решения соавтора
DO аном.опл.,,✓,✓,,unclassified,0,требует ручного решения соавтора
DO среда куль-я,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
FET Кол-во разморож.эмб-в,,✓,✓,,unclassified,0,требует ручного решения соавтора
IVF/КРИО TESA,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Miri 6/12,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
SANYO,,,✓,,unclassified,0,требует ручного решения соавтора
TL,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
А+В %,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Андрогель,✓,✓,,,unclassified,0,требует ручного решения соавтора
Андрогель 10 мг/г №30 пакет гель (тестостерон 50мг/5г 1 пакет),,,✓,,unclassified,0,требует ручного решения соавтора
"Аэртал 100 мг №20, №60 табл",,,✓,,unclassified,0,требует ручного решения соавтора
Бергестрон,✓,✓,,,unclassified,0,требует ручного решения соавтора
"Бергестрон 100 мг №30 кап (прогестерон) перор., ваг.",,,✓,,unclassified,0,требует ручного решения соавтора
"Бергестрон 200 мг №30 кап (прогестерон) перор., ваг.",,,✓,,unclassified,0,требует ручного решения соавтора
В PERSONE,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Внематочная бер-ть,✓,,✓,,unclassified,0,требует ручного решения соавтора
Возр пациентов,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Всего ерации,✓,,,,unclassified,0,требует ручного решения соавтора
Всего операции,,✓,✓,,unclassified,0,требует ручного решения соавтора
Выписка после родов новорожденного 2,,,✓,,unclassified,0,требует ручного решения соавтора
ГОД,✓,✓,,,unclassified,0,требует ручного решения соавтора
Гинопрогест,,✓,,,unclassified,0,требует ручного решения соавтора
"Гинопрогест 200 мг №30кап (прогестерон) перор., ваг.",,,✓,,unclassified,0,требует ручного решения соавтора
Гинрогест,✓,,,,unclassified,0,требует ручного решения соавтора
Гистология 1,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Гистология 3,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Гонал Ф 75 ЕД,✓,✓,,,unclassified,0,требует ручного решения соавтора
"Гонал-Ф 5,5 мкг (75 МЕ) №1 амп",,,✓,,unclassified,0,требует ручного решения соавтора
Город,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Гражданский,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
"ДИФЕРЕЛИН 0,1",✓,✓,,,unclassified,0,требует ручного решения соавтора
ДНК Фрагментация,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
ДО разм(кол.),✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
ДО свеж,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
День ПЕ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
День м.ц на ТВП/криЭ,✓,,,,unclassified,0,требует ручного решения соавтора
День м.ц на ТВП/криоПЭ,,✓,✓,,unclassified,0,требует ручного решения соавтора
День сдачи прогестерона IIфазе,,✓,✓,,unclassified,0,требует ручного решения соавтора
Дивигель,✓,✓,,,unclassified,0,требует ручного решения соавтора
"Дивигель 0,1 % 0,5 г, 1,0 г гель (эстрадиола гемигидрат)",,,✓,,unclassified,0,требует ручного решения соавтора
"Диферелин 0,1",✓,✓,,,unclassified,0,требует ручного решения соавтора
"Диферелин амп 0,1 мг №7",,,✓,,unclassified,0,требует ручного решения соавтора
"Диферелин амп 0,1 мг №7 .1",,,✓,,unclassified,0,требует ручного решения соавтора
"Диферелин амп 3,75мг №1",,,✓,,unclassified,0,требует ручного решения соавтора
"Диферилин 3,75",✓,✓,,,unclassified,0,требует ручного решения соавтора
Доп.назначения,,✓,✓,,unclassified,0,требует ручного решения соавтора
"Достинекс 0,5 мг №2, №8табл (Каберголин)",,,✓,,unclassified,0,требует ручного решения соавтора
Дюфастон,✓,✓,,,unclassified,0,требует ручного решения соавтора
Дюфастон 10мг №20 табл (Дидрогестерон),,,✓,,unclassified,0,требует ручного решения соавтора
Дюфастон.1,✓,✓,,,unclassified,0,требует ручного решения соавтора
ЕТ/ОП,,✓,✓,,unclassified,0,требует ручного решения соавтора
ЖК УЗИ 3,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Живой/летальный исход плод,,✓,✓,,unclassified,0,требует ручного решения соавтора
Живой/летальный исход плод 1,✓,,,,unclassified,0,требует ручного решения соавтора
Живой/летальный исход плод 2,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Живой/летальный исход плод 3,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Заказчица,,✓,✓,,unclassified,0,требует ручного решения соавтора
Заказщица/супруга,✓,,,,unclassified,0,требует ручного решения соавтора
Замершая бер-ть,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Заполнила на 7 сут,✓,,,,unclassified,0,требует ручного решения соавтора
Заполнила на 7 сут и КРИО,,✓,✓,,unclassified,0,требует ручного решения соавтора
И Норм.опл.,,✓,✓,,unclassified,0,требует ручного решения соавтора
И ПЭ5-6 сутки,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
И Среда куль-я,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
ИИН,,,✓,,unclassified,0,требует ручного решения соавтора
Источник Клеток,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Источник ооцитов на  СВОЯ/ДО,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
КЦ,✓,,,,unclassified,0,требует ручного решения соавтора
Кариотип жены,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Кариотип мужа,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Категория программы,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Катетер на ПЭ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Кач-во на ПЕ,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Качество спермы,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Кесарево сечение,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Клексан,✓,✓,,,unclassified,0,требует ручного решения соавтора
"Клексан 0,4/0,3/0,6/0,8мл 2850МЕ/3800МЕ/5700МЕ/7600МЕ п/к",,,✓,,unclassified,0,требует ручного решения соавтора
Клостилбегит,,✓,,,unclassified,0,требует ручного решения соавтора
Клостилбегит 50 мг №10 табл,,,✓,,unclassified,0,требует ручного решения соавтора
Кол,,,✓,,unclassified,0,требует ручного решения соавтора
Консервативная миомэктомия,✓,✓,✓,✓,unclassified,0,требует ручного решения соавтора
Крайнон,✓,✓,,,unclassified,0,требует ручного решения соавтора
